judge_id,judge_name,release
1,Barton,0.649999976
2,Blaschak,0.639999986
3,Caulfield,0.639999986
4,Dzvonick,0.689999998
5,Eichler,0.409999996
6,Ford,0.569999993
7,Herbst,0.620000005
8,Hoots,0.340000004
10,Joyce,0.620000005
11,Kaiser,0.899999976
12,Lang,0.720000029
13,Larotonda,0.560000002
14,McGraw-Desmet,0.579999983
15,Miller,0.460000008
16,Mills,0.419999987
17,Olasz,0.649999976
18,Opiela,0.620000005
9,Reschenthaler,0.629999995
19,Riazzi,0.519999981
20,Saveikis,0.670000017
21,Schricker,0.629999995
22,Sosovicka,0.550000012
23,Stephens,0.610000014
24,Swearingen,0.660000026
25,Torkowsky,0.460000008
26,Wagner,0.600000024
27,Zucco,0.300000012
